Country Name,Country Code,Year,Methane
Afghanistan,AFG,2000,10.8188
Albania,ALB,2000,2.9774
Algeria,DZA,2000,61.4336
Angola,AGO,2000,47.4592
Antigua and Barbuda,ATG,2000,0.0751
Argentina,ARG,2000,121.4534
Armenia,ARM,2000,1.9559
Aruba,ABW,2000,0.0735
Australia,AUS,2000,141.7728
Austria,AUT,2000,11.2408
Azerbaijan,AZE,2000,9.1322
"Bahamas, The",BHS,2000,0.2303
Bahrain,BHR,2000,19.2243
Bangladesh,BGD,2000,56.4779
Barbados,BRB,2000,0.2164
Belarus,BLR,2000,16.4425
Belgium,BEL,2000,15.8624
Belize,BLZ,2000,0.2717
Benin,BEN,2000,3.3304
Bermuda,BMU,2000,0.0214
Bhutan,BTN,2000,0.8181
Bolivia,BOL,2000,17.9101
Bosnia and Herzegovina,BIH,2000,3.4771
Botswana,BWA,2000,4.6587
Brazil,BRA,2000,410.4874
British Virgin Islands,VGB,2000,0.0092
Brunei Darussalam,BRN,2000,2.232
Bulgaria,BGR,2000,9.3649
Burkina Faso,BFA,2000,9.7838
Burundi,BDI,2000,2.0831
Cabo Verde,CPV,2000,0.1838
Cambodia,KHM,2000,15.9764
Cameroon,CMR,2000,19.8732
Canada,CAN,2000,129.765
Cayman Islands,CYM,2000,0.0157
Chad,TCD,2000,19.8864
Chile,CHL,2000,20.9363
China,CHN,2000,1035.8017
Colombia,COL,2000,73.7352
Comoros,COM,2000,0.2865
"Congo, Dem. Rep.",COD,2000,15.8712
"Congo, Rep.",COG,2000,16.2397
Costa Rica,CRI,2000,4.4311
Cote d'Ivoire,CIV,2000,7.3337
Croatia,HRV,2000,3.4854
Cuba,CUB,2000,13.2584
Cyprus,CYP,2000,0.818
Czechia,CZE,2000,15.182
Denmark,DNK,2000,9.1909
Djibouti,DJI,2000,0.9359
Dominica,DMA,2000,0.0497
Dominican Republic,DOM,2000,6.67
Ecuador,ECU,2000,17.3523
"Egypt, Arab Rep.",EGY,2000,59.2714
El Salvador,SLV,2000,3.4229
Equatorial Guinea,GNQ,2000,9.2555
Eritrea,ERI,2000,3.6614
Estonia,EST,2000,2.4499
Eswatini,SWZ,2000,1.7058
Ethiopia,ETH,2000,56.2375
Euro area,EMU,2000,408.4555
Faroe Islands,FRO,2000,0.0379
Fiji,FJI,2000,1.0151
Finland,FIN,2000,9.5433
France,FRA,2000,81.2157
French Polynesia,PYF,2000,0.0659
Gabon,GAB,2000,20.3466
"Gambia, The",GMB,2000,0.788
Georgia,GEO,2000,4.7828
Germany,DEU,2000,96.4266
Ghana,GHA,2000,7.2969
Gibraltar,GIB,2000,0.0121
Greece,GRC,2000,12.7715
Greenland,GRL,2000,0.0551
Grenada,GRD,2000,0.0383
Guam,GUM,2000,0.0109
Guatemala,GTM,2000,9.3138
Guinea,GIN,2000,7.2564
Guinea-Bissau,GNB,2000,1.421
Guyana,GUY,2000,1.4192
Haiti,HTI,2000,6.7243
Honduras,HND,2000,4.8241
"Hong Kong SAR, China",HKG,2000,3.8646
Hungary,HUN,2000,11.6478
Iceland,ISL,2000,0.588
India,IND,2000,668.6334
Indonesia,IDN,2000,171.6919
"Iran, Islamic Rep.",IRN,2000,131.0493
Iraq,IRQ,2000,73.7802
Ireland,IRL,2000,19.8581
Israel,ISR,2000,6.1692
Italy,ITA,2000,52.9366
Jamaica,JAM,2000,1.2566
Japan,JPN,2000,57.1588
Jordan,JOR,2000,2.2618
Kazakhstan,KAZ,2000,34.4763
Kenya,KEN,2000,24.6877
Kiribati,KIR,2000,0.0157
"Korea, Dem. People's Rep.",PRK,2000,22.8447
"Korea, Rep.",KOR,2000,36.0504
Kuwait,KWT,2000,30.9445
Kyrgyz Republic,KGZ,2000,4.9867
Lao PDR,LAO,2000,6.5689
Latvia,LVA,2000,2.0563
Lebanon,LBN,2000,1.9456
Lesotho,LSO,2000,1.7307
Liberia,LBR,2000,1.548
Libya,LBY,2000,40.755
Lithuania,LTU,2000,4.5199
Luxembourg,LUX,2000,0.6491
"Macao SAR, China",MAC,2000,0.0302
Madagascar,MDG,2000,18.3814
Malawi,MWI,2000,3.9007
Malaysia,MYS,2000,20.8701
Maldives,MDV,2000,0.0493
Mali,MLI,2000,11.0476
Malta,MLT,2000,0.2059
Marshall Islands,MHL,2000,0.0025
Mauritania,MRT,2000,6.3606
Mauritius,MUS,2000,0.5264
Mexico,MEX,2000,133.6955
"Micronesia, Fed. Sts.",FSM,2000,0.0306
Moldova,MDA,2000,2.372
Mongolia,MNG,2000,11.9491
Morocco,MAR,2000,18.1304
Mozambique,MOZ,2000,5.8041
Myanmar,MMR,2000,65.248
Namibia,NAM,2000,4.6523
Nauru,NRU,2000,0.0008
Nepal,NPL,2000,21.5799
Netherlands,NLD,2000,29.0062
New Caledonia,NCL,2000,0.2323
New Zealand,NZL,2000,37.8651
Nicaragua,NIC,2000,6.4387
Niger,NER,2000,11.6368
Nigeria,NGA,2000,262.7275
North Macedonia,MKD,2000,1.7924
Northern Mariana Islands,MNP,2000,0.0035
Norway,NOR,2000,8.3629
Oman,OMN,2000,25.0926
Other small states,OSS,2000,11.4307
Pakistan,PAK,2000,125.7414
Palau,PLW,2000,0.0794
Panama,PAN,2000,3.6067
Papua New Guinea,PNG,2000,2.6497
Paraguay,PRY,2000,17.0279
Peru,PER,2000,21.1513
Philippines,PHL,2000,47.9805
Poland,POL,2000,70.9807
Portugal,PRT,2000,11.8737
Puerto Rico (US),PRI,2000,2.024
Qatar,QAT,2000,27.7065
Romania,ROU,2000,21.2552
Russian Federation,RUS,2000,295.224
Rwanda,RWA,2000,2.6716
Samoa,WSM,2000,0.1393
Sao Tome and Principe,STP,2000,0.0525
Saudi Arabia,SAU,2000,72.3677
Senegal,SEN,2000,7.1304
Seychelles,SYC,2000,0.0467
Sierra Leone,SLE,2000,2.5575
Singapore,SGP,2000,1.8408
Slovak Republic,SVK,2000,6.0354
Slovenia,SVN,2000,3.7954
Small states,SST,2000,20.5686
Solomon Islands,SLB,2000,0.1475
"Somalia, Fed. Rep.",SOM,2000,22.5426
Spain,ESP,2000,43.7053
Sri Lanka,LKA,2000,8.976
St. Kitts and Nevis,KNA,2000,0.0373
St. Lucia,LCA,2000,0.0629
St. Vincent and the Grenadines,VCT,2000,0.0416
Sudan,SDN,2000,66.8387
Suriname,SUR,2000,0.8543
Sweden,SWE,2000,10.6933
Switzerland,CHE,2000,5.2288
Syrian Arab Republic,SYR,2000,34.2167
Tajikistan,TJK,2000,3.7492
Tanzania,TZA,2000,25.8078
Thailand,THA,2000,72.1748
Timor-Leste,TLS,2000,0.5319
Togo,TGO,2000,2.8282
Tonga,TON,2000,0.0875
Tunisia,TUN,2000,8.2512
Turkiye,TUR,2000,50.0849
Turkmenistan,TKM,2000,17.7549
Turks and Caicos Islands,TCA,2000,0.0076
Tuvalu,TUV,2000,0.0024
Uganda,UGA,2000,13.7894
Ukraine,UKR,2000,80.117
United Arab Emirates,ARE,2000,24.7399
United Kingdom,GBR,2000,120.0116
United States,USA,2000,826.3315
Uruguay,URY,2000,23.0342
Uzbekistan,UZB,2000,32.1745
Vanuatu,VUT,2000,0.3457
"Venezuela, RB",VEN,2000,73.7827
Viet Nam,VNM,2000,90.433
Virgin Islands (U.S.),VIR,2000,0.0191
"Yemen, Rep.",YEM,2000,13.3289
Zambia,ZMB,2000,7.1751
Zimbabwe,ZWE,2000,11.9522
Afghanistan,AFG,2001,9.3528
Albania,ALB,2001,2.9482
Algeria,DZA,2001,52.5178
Angola,AGO,2001,45.3332
Antigua and Barbuda,ATG,2001,0.0753
Argentina,ARG,2001,122.8134
Armenia,ARM,2001,2.0104
Aruba,ABW,2001,0.0735
Australia,AUS,2001,143.1391
Austria,AUT,2001,11.1846
Azerbaijan,AZE,2001,9.4683
"Bahamas, The",BHS,2001,0.2351
Bahrain,BHR,2001,19.5879
Bangladesh,BGD,2001,56.7731
Barbados,BRB,2001,0.2041
Belarus,BLR,2001,16.4002
Belgium,BEL,2001,15.4935
Belize,BLZ,2001,0.2881
Benin,BEN,2001,3.4572
Bermuda,BMU,2001,0.0216
Bhutan,BTN,2001,0.7994
Bolivia,BOL,2001,16.5847
Bosnia and Herzegovina,BIH,2001,3.4947
Botswana,BWA,2001,4.514
Brazil,BRA,2001,420.7556
British Virgin Islands,VGB,2001,0.0093
Brunei Darussalam,BRN,2001,2.6682
Bulgaria,BGR,2001,9.0274
Burkina Faso,BFA,2001,11.0818
Burundi,BDI,2001,2.1204
Cabo Verde,CPV,2001,0.1801
Cambodia,KHM,2001,16.0391
Cameroon,CMR,2001,19.9025
Canada,CAN,2001,131.17
Cayman Islands,CYM,2001,0.0162
Chad,TCD,2001,20.8483
Chile,CHL,2001,21.1148
China,CHN,2001,1036.4971
Colombia,COL,2001,74.4999
Comoros,COM,2001,0.2825
"Congo, Dem. Rep.",COD,2001,15.7731
"Congo, Rep.",COG,2001,15.3688
Costa Rica,CRI,2001,4.3372
Cote d'Ivoire,CIV,2001,7.4198
Croatia,HRV,2001,3.5755
Cuba,CUB,2001,13.0535
Cyprus,CYP,2001,0.8511
Czechia,CZE,2001,15.3305
Denmark,DNK,2001,9.3598
Djibouti,DJI,2001,0.9275
Dominica,DMA,2001,0.0498
Dominican Republic,DOM,2001,6.9839
Ecuador,ECU,2001,18.6566
"Egypt, Arab Rep.",EGY,2001,58.8157
El Salvador,SLV,2001,3.6958
Equatorial Guinea,GNQ,2001,9.6669
Eritrea,ERI,2001,3.5478
Estonia,EST,2001,2.4557
Eswatini,SWZ,2001,1.5907
Ethiopia,ETH,2001,59.4459
Euro area,EMU,2001,402.3717
Faroe Islands,FRO,2001,0.038
Fiji,FJI,2001,1.0286
Finland,FIN,2001,9.3027
France,FRA,2001,81.3326
French Polynesia,PYF,2001,0.0622
Gabon,GAB,2001,20.864
"Gambia, The",GMB,2001,0.7545
Georgia,GEO,2001,4.7904
Germany,DEU,2001,92.7394
Ghana,GHA,2001,7.4322
Gibraltar,GIB,2001,0.0122
Greece,GRC,2001,12.3178
Greenland,GRL,2001,0.0553
Grenada,GRD,2001,0.0383
Guam,GUM,2001,0.011
Guatemala,GTM,2001,9.6203
Guinea,GIN,2001,7.2291
Guinea-Bissau,GNB,2001,1.3724
Guyana,GUY,2001,1.48
Haiti,HTI,2001,6.7816
Honduras,HND,2001,4.9585
"Hong Kong SAR, China",HKG,2001,3.858
Hungary,HUN,2001,11.6086
Iceland,ISL,2001,0.5977
India,IND,2001,673.5726
Indonesia,IDN,2001,174.1948
"Iran, Islamic Rep.",IRN,2001,121.4161
Iraq,IRQ,2001,75.2369
Ireland,IRL,2001,20.1242
Israel,ISR,2001,6.2771
Italy,ITA,2001,51.2127
Jamaica,JAM,2001,1.254
Japan,JPN,2001,55.8051
Jordan,JOR,2001,2.3171
Kazakhstan,KAZ,2001,35.3589
Kenya,KEN,2001,26.3666
Kiribati,KIR,2001,0.016
"Korea, Dem. People's Rep.",PRK,2001,23.5016
"Korea, Rep.",KOR,2001,35.793
Kuwait,KWT,2001,29.1474
Kyrgyz Republic,KGZ,2001,5.0231
Lao PDR,LAO,2001,6.8275
Latvia,LVA,2001,2.1203
Lebanon,LBN,2001,2.0146
Lesotho,LSO,2001,1.72
Liberia,LBR,2001,1.5289
Libya,LBY,2001,37.5558
Lithuania,LTU,2001,4.4251
Luxembourg,LUX,2001,0.6499
